ts, snap_count, snap_bytes, snap_avg_ex_recv_ms, snap_avg_recv_write_ms, snap_max_ex_recv_ms, snap_max_recv_write_ms, trade_count, trade_bytes, trade_avg_ex_recv_ms, trade_avg_recv_write_ms, trade_max_ex_recv_ms, trade_max_recv_write_ms
1761504879, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504882, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504883, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504886, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504887, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504888, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504889, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504891, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504892, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504893, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504894, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504896, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504897, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504898, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504899, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761504901, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
